[real_seed1] === real seed 1, Regime 1 (arms=('A', 'D')), rank=36, budget=102400 steps ===
[real_seed1] === pilot 1 start, rank=36, params=67625, cosine LR 0.003->3e-05 over 102400 steps, no early stopping ===
[real_seed1] pilot 1 step   5300  lr=2.98e-03  loss=0.8313  val_acc={1: 1.0, 2: 0.914, 3: 0.859}  elapsed=456s  
[real_seed1] pilot 1 step   5400  lr=2.98e-03  loss=0.7339  val_acc={1: 1.0, 2: 0.914, 3: 0.875}  elapsed=463s  
[real_seed1] pilot 1 step   5500  lr=2.98e-03  loss=0.8672  val_acc={1: 1.0, 2: 0.922, 3: 0.867}  elapsed=475s  
[real_seed1] pilot 1 step   5600  lr=2.98e-03  loss=0.8263  val_acc={1: 1.0, 2: 0.945, 3: 0.852}  elapsed=484s  
[real_seed1] pilot 1 step   5700  lr=2.98e-03  loss=0.7415  val_acc={1: 1.0, 2: 0.93, 3: 0.906}  elapsed=492s  
[real_seed1] pilot 1 step   5800  lr=2.98e-03  loss=0.8590  val_acc={1: 1.0, 2: 0.961, 3: 0.906}  elapsed=501s  
[real_seed1] pilot 1 step   5900  lr=2.98e-03  loss=0.8380  val_acc={1: 1.0, 2: 0.977, 3: 0.906}  elapsed=509s  
[real_seed1] pilot 1 step   6000  lr=2.97e-03  loss=0.7420  val_acc={1: 1.0, 2: 0.922, 3: 0.93}  elapsed=519s  
[real_seed1] pilot 1 step   6100  lr=2.97e-03  loss=0.8588  val_acc={1: 1.0, 2: 0.891, 3: 0.914}  elapsed=530s  
[real_seed1] pilot 1 step   6200  lr=2.97e-03  loss=0.8236  val_acc={1: 1.0, 2: 0.992, 3: 0.93}  elapsed=541s  
[real_seed1] pilot 1 step   6300  lr=2.97e-03  loss=0.7417  val_acc={1: 1.0, 2: 0.945, 3: 0.922}  elapsed=549s  
[real_seed1] pilot 1 step   6400  lr=2.97e-03  loss=0.8488  val_acc={1: 1.0, 2: 0.969, 3: 0.898}  elapsed=556s  
[real_seed1] pilot 1 step   6500  lr=2.97e-03  loss=0.8274  val_acc={1: 1.0, 2: 0.992, 3: 0.922}  elapsed=564s  
[real_seed1] pilot 1 step   6600  lr=2.97e-03  loss=0.7495  val_acc={1: 1.0, 2: 0.961, 3: 0.953}  elapsed=572s  PASS
[real_seed1] pilot 1 step   6700  lr=2.97e-03  loss=0.8558  val_acc={1: 1.0, 2: 0.922, 3: 0.938}  elapsed=579s  
[real_seed1] pilot 1 step   6800  lr=2.97e-03  loss=0.8237  val_acc={1: 1.0, 2: 0.961, 3: 0.914}  elapsed=588s  
[real_seed1] pilot 1 step   6900  lr=2.97e-03  loss=0.7293  val_acc={1: 1.0, 2: 0.961, 3: 0.977}  elapsed=597s  PASS
[real_seed1] pilot 1 step   7000  lr=2.97e-03  loss=0.8547  val_acc={1: 1.0, 2: 0.984, 3: 0.953}  elapsed=606s  PASS
[real_seed1] pilot 1 step   7100  lr=2.96e-03  loss=0.8256  val_acc={1: 1.0, 2: 0.992, 3: 0.977}  elapsed=615s  PASS
[real_seed1] pilot 1 step   7200  lr=2.96e-03  loss=0.7276  val_acc={1: 1.0, 2: 0.969, 3: 0.961}  elapsed=623s  PASS
[real_seed1] pilot 1 step   7300  lr=2.96e-03  loss=0.8500  val_acc={1: 1.0, 2: 0.977, 3: 0.984}  elapsed=631s  PASS
[real_seed1] pilot 1 step   7400  lr=2.96e-03  loss=0.8280  val_acc={1: 1.0, 2: 0.984, 3: 0.984}  elapsed=643s  PASS
