device=cuda  rank-bottleneck throwaway pilot, rank=36
=== pilot 99 start, rank=36, params=67112, cosine LR 0.003->3e-05 over 30000 steps, no early stopping ===
pilot 99 step  17400  lr=1.15e-03  loss=0.7151  val_acc={1: 1.0, 2: 0.961, 3: 0.961}  elapsed=4802s  PASS
pilot 99 step  17500  lr=1.13e-03  loss=0.7990  val_acc={1: 1.0, 2: 0.977, 3: 0.969}  elapsed=4829s  PASS
pilot 99 step  17600  lr=1.12e-03  loss=0.8357  val_acc={1: 1.0, 2: 0.969, 3: 0.977}  elapsed=4857s  PASS
pilot 99 step  17700  lr=1.10e-03  loss=0.7116  val_acc={1: 1.0, 2: 0.977, 3: 0.969}  elapsed=4885s  PASS
pilot 99 step  17800  lr=1.09e-03  loss=0.7962  val_acc={1: 1.0, 2: 0.992, 3: 0.992}  elapsed=4912s  PASS
pilot 99 step  17900  lr=1.07e-03  loss=0.8358  val_acc={1: 1.0, 2: 0.969, 3: 0.977}  elapsed=4940s  PASS
pilot 99 step  18000  lr=1.06e-03  loss=0.7199  val_acc={1: 1.0, 2: 0.984, 3: 0.969}  elapsed=4967s  PASS
pilot 99 step  18100  lr=1.04e-03  loss=0.8070  val_acc={1: 1.0, 2: 0.992, 3: 0.961}  elapsed=4994s  PASS
pilot 99 step  18200  lr=1.03e-03  loss=0.8302  val_acc={1: 1.0, 2: 0.969, 3: 0.977}  elapsed=5022s  PASS
pilot 99 step  18300  lr=1.01e-03  loss=0.7182  val_acc={1: 1.0, 2: 0.977, 3: 0.992}  elapsed=5049s  PASS
pilot 99 step  18400  lr=9.97e-04  loss=0.7971  val_acc={1: 1.0, 2: 0.961, 3: 0.977}  elapsed=5077s  PASS
pilot 99 step  18500  lr=9.83e-04  loss=0.8263  val_acc={1: 1.0, 2: 0.961, 3: 0.977}  elapsed=5104s  PASS
pilot 99 step  18600  lr=9.68e-04  loss=0.7155  val_acc={1: 1.0, 2: 0.977, 3: 1.0}  elapsed=5132s  PASS
pilot 99 step  18700  lr=9.54e-04  loss=0.8012  val_acc={1: 1.0, 2: 0.984, 3: 1.0}  elapsed=5159s  PASS
pilot 99 step  18800  lr=9.40e-04  loss=0.8157  val_acc={1: 1.0, 2: 0.984, 3: 0.977}  elapsed=5186s  PASS
pilot 99 step  18900  lr=9.25e-04  loss=0.7161  val_acc={1: 1.0, 2: 0.992, 3: 0.992}  elapsed=5214s  PASS
pilot 99 step  19000  lr=9.11e-04  loss=0.7962  val_acc={1: 1.0, 2: 0.953, 3: 0.961}  elapsed=5240s  PASS
pilot 99 step  19100  lr=8.97e-04  loss=0.8286  val_acc={1: 1.0, 2: 0.977, 3: 0.961}  elapsed=5268s  PASS
pilot 99 step  19200  lr=8.83e-04  loss=0.7024  val_acc={1: 1.0, 2: 0.969, 3: 0.977}  elapsed=5295s  PASS
pilot 99 step  19300  lr=8.69e-04  loss=0.8010  val_acc={1: 1.0, 2: 0.992, 3: 0.984}  elapsed=5322s  PASS
pilot 99 step  19400  lr=8.55e-04  loss=0.8257  val_acc={1: 1.0, 2: 0.984, 3: 0.992}  elapsed=5349s  PASS
pilot 99 step  19500  lr=8.41e-04  loss=0.7076  val_acc={1: 1.0, 2: 0.984, 3: 1.0}  elapsed=5376s  PASS
