[pilot1] === pilot 1 start, params=79108, cosine LR 0.003->3e-05 over 30000 steps, no early stopping ===
[pilot1] pilot 1 step   9500  lr=2.32e-03  loss=0.7868  val_acc={1: 1.0, 2: 0.984, 3: 0.977}  elapsed=7718s  PASS
[pilot1] pilot 1 step   9600  lr=2.31e-03  loss=0.6708  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=7801s  PASS
[pilot1] pilot 1 step   9700  lr=2.30e-03  loss=0.7537  val_acc={1: 1.0, 2: 1.0, 3: 0.977}  elapsed=7883s  PASS
[pilot1] pilot 1 step   9800  lr=2.28e-03  loss=0.7739  val_acc={1: 1.0, 2: 0.977, 3: 0.992}  elapsed=7964s  PASS
[pilot1] pilot 1 step   9900  lr=2.27e-03  loss=0.6633  val_acc={1: 1.0, 2: 0.984, 3: 1.0}  elapsed=8047s  PASS
[pilot1] pilot 1 step  10000  lr=2.26e-03  loss=0.7562  val_acc={1: 1.0, 2: 0.992, 3: 1.0}  elapsed=8129s  PASS
[pilot1] pilot 1 step  10100  lr=2.24e-03  loss=0.7755  val_acc={1: 1.0, 2: 0.984, 3: 0.984}  elapsed=8211s  PASS
[pilot1] pilot 1 step  10200  lr=2.23e-03  loss=0.6589  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=8292s  PASS
[pilot1] pilot 1 step  10300  lr=2.22e-03  loss=0.7534  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=8373s  PASS
[pilot1] pilot 1 step  10400  lr=2.20e-03  loss=0.7791  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=8455s  PASS
[pilot1] pilot 1 step  10500  lr=2.19e-03  loss=0.6803  val_acc={1: 1.0, 2: 1.0, 3: 0.984}  elapsed=8535s  PASS
[pilot1] pilot 1 step  10600  lr=2.18e-03  loss=0.7575  val_acc={1: 1.0, 2: 1.0, 3: 0.984}  elapsed=8617s  PASS
[pilot1] pilot 1 step  10700  lr=2.16e-03  loss=0.7834  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=8698s  PASS
[pilot1] pilot 1 step  10800  lr=2.15e-03  loss=0.6729  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=8780s  PASS
[pilot1] pilot 1 step  10900  lr=2.13e-03  loss=0.7588  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=8861s  PASS
[pilot1] pilot 1 step  11000  lr=2.12e-03  loss=0.7753  val_acc={1: 1.0, 2: 1.0, 3: 0.953}  elapsed=8942s  PASS
[pilot1] pilot 1 step  11100  lr=2.10e-03  loss=0.6767  val_acc={1: 1.0, 2: 0.992, 3: 1.0}  elapsed=9023s  PASS
[pilot1] pilot 1 step  11200  lr=2.09e-03  loss=0.7436  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=9104s  PASS
[pilot1] pilot 1 step  11300  lr=2.08e-03  loss=0.7692  val_acc={1: 1.0, 2: 0.992, 3: 0.977}  elapsed=9185s  PASS
[pilot1] pilot 1 step  11400  lr=2.06e-03  loss=0.6615  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=9266s  PASS
[pilot1] pilot 1 step  11500  lr=2.05e-03  loss=0.7491  val_acc={1: 1.0, 2: 0.992, 3: 0.992}  elapsed=9346s  PASS
[pilot1] pilot 1 step  11600  lr=2.03e-03  loss=0.7799  val_acc={1: 1.0, 2: 0.992, 3: 1.0}  elapsed=9428s  PASS
[pilot1] pilot 1 step  11700  lr=2.02e-03  loss=0.6709  val_acc={1: 1.0, 2: 0.992, 3: 0.984}  elapsed=9511s  PASS
[pilot1] pilot 1 step  11800  lr=2.00e-03  loss=0.7455  val_acc={1: 1.0, 2: 0.984, 3: 0.961}  elapsed=9591s  PASS
[pilot1] pilot 1 step  11900  lr=1.99e-03  loss=0.7840  val_acc={1: 1.0, 2: 0.992, 3: 0.953}  elapsed=9672s  PASS
[pilot1] pilot 1 step  12000  lr=1.97e-03  loss=0.6677  val_acc={1: 1.0, 2: 0.977, 3: 0.977}  elapsed=9754s  PASS
[pilot1] pilot 1 step  12100  lr=1.96e-03  loss=0.7554  val_acc={1: 1.0, 2: 0.992, 3: 0.984}  elapsed=9834s  PASS
[pilot1] pilot 1 step  12200  lr=1.94e-03  loss=0.7799  val_acc={1: 1.0, 2: 0.977, 3: 0.953}  elapsed=9917s  PASS
[pilot1] pilot 1 step  12300  lr=1.93e-03  loss=0.6668  val_acc={1: 1.0, 2: 0.992, 3: 0.984}  elapsed=9997s  PASS
[pilot1] pilot 1 step  12400  lr=1.91e-03  loss=0.7585  val_acc={1: 1.0, 2: 1.0, 3: 0.977}  elapsed=10079s  PASS
[pilot1] pilot 1 step  12500  lr=1.90e-03  loss=0.7765  val_acc={1: 1.0, 2: 1.0, 3: 0.969}  elapsed=10159s  PASS
