[real_seed_r2_2] === real seed 2, Regime 2 (arms=('A', 'B1', 'B2', 'C', 'D')), rank=36, budget=102400 steps ===
[real_seed_r2_2] pilot 2 step   3700  lr=2.99e-03  loss=1.0517  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=301s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   3800  lr=2.99e-03  loss=0.9304  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=311s  PASS  abstain_loss=0.0004  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   3900  lr=2.99e-03  loss=0.8154  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=319s  PASS  abstain_loss=0.0052  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   4000  lr=2.99e-03  loss=0.9942  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=326s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   4100  lr=2.99e-03  loss=0.9394  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=334s  PASS  abstain_loss=0.0180  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   4200  lr=2.99e-03  loss=0.8058  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=342s  PASS  abstain_loss=0.0043  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   4300  lr=2.99e-03  loss=0.9465  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=350s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   4400  lr=2.99e-03  loss=0.8874  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=360s  PASS  abstain_loss=0.0001  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   4500  lr=2.99e-03  loss=0.7876  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=369s  PASS  abstain_loss=0.0032  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   4600  lr=2.99e-03  loss=0.9305  val_acc={1: 1.0, 2: 1.0, 3: 0.984}  elapsed=376s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   4700  lr=2.98e-03  loss=0.8649  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=384s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   4800  lr=2.98e-03  loss=0.7634  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=393s  PASS  abstain_loss=0.0024  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   4900  lr=2.98e-03  loss=0.8976  val_acc={1: 1.0, 2: 1.0, 3: 0.984}  elapsed=401s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   5000  lr=2.98e-03  loss=0.8536  val_acc={1: 1.0, 2: 1.0, 3: 0.969}  elapsed=409s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   5100  lr=2.98e-03  loss=0.7903  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=418s  PASS  abstain_loss=0.0144  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   5200  lr=2.98e-03  loss=0.9300  val_acc={1: 1.0, 2: 1.0, 3: 0.977}  elapsed=426s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   5300  lr=2.98e-03  loss=1.1503  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=434s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   5400  lr=2.98e-03  loss=0.9407  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=444s  PASS  abstain_loss=0.0165  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   5500  lr=2.98e-03  loss=1.0081  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=452s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   5600  lr=2.98e-03  loss=0.9201  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=461s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   5700  lr=2.98e-03  loss=0.7975  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=469s  PASS  abstain_loss=0.0012  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   5800  lr=2.98e-03  loss=0.9406  val_acc={1: 1.0, 2: 1.0, 3: 0.984}  elapsed=478s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   5900  lr=2.98e-03  loss=0.8897  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=485s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   6000  lr=2.97e-03  loss=0.7958  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=494s  PASS  abstain_loss=0.0009  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   6100  lr=2.97e-03  loss=0.9625  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=501s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   6200  lr=2.97e-03  loss=0.9050  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=510s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   6300  lr=2.97e-03  loss=0.8117  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=521s  PASS  abstain_loss=0.0057  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   6400  lr=2.97e-03  loss=0.9373  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=532s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   6500  lr=2.97e-03  loss=0.8988  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=542s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   6600  lr=2.97e-03  loss=0.7946  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=551s  PASS  abstain_loss=0.0015  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   6700  lr=2.97e-03  loss=0.9251  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=558s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   6800  lr=2.97e-03  loss=0.8906  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=566s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   6900  lr=2.97e-03  loss=0.8019  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=574s  PASS  abstain_loss=0.0020  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   7000  lr=2.97e-03  loss=0.9921  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=583s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   7100  lr=2.96e-03  loss=0.9546  val_acc={1: 1.0, 2: 1.0, 3: 0.984}  elapsed=592s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   7200  lr=2.96e-03  loss=0.8700  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=600s  PASS  abstain_loss=0.0002  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   7300  lr=2.96e-03  loss=0.9741  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=608s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   7400  lr=2.96e-03  loss=0.9173  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=616s  PASS  abstain_loss=0.0002  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   7500  lr=2.96e-03  loss=0.8095  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=625s  PASS  abstain_loss=0.0005  abstain_class_balance=0.000  abstain_head_acc=1.000
